127.0.0.1 - - [03/Jan/2022:17:58:08 +0900] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:17:58:09 +0900] "GET /index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:17:58:09 +0900] "GET /login.do HTTP/1.1" 200 2467
0:0:0:0:0:0:0:1 - - [03/Jan/2022:17:58:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Jan/2022:17:58:16 +0900] "POST /loginAf.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:17:58:16 +0900] "GET /bbslist.do HTTP/1.1" 200 6806
0:0:0:0:0:0:0:1 - - [03/Jan/2022:17:58:16 +0900] "GET /image/arrow.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:17:58:38 +0900] "GET /bbsdetail.do?seq=83 HTTP/1.1" 200 1859
0:0:0:0:0:0:0:1 - - [03/Jan/2022:17:58:40 +0900] "GET /deletebbs.do?seq=83 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:17:58:40 +0900] "GET /bbslist.do HTTP/1.1" 200 6499
0:0:0:0:0:0:0:1 - - [03/Jan/2022:17:58:41 +0900] "GET /bbsdetail.do?seq=101 HTTP/1.1" 200 1805
0:0:0:0:0:0:0:1 - - [03/Jan/2022:17:58:42 +0900] "GET /deletebbs.do?seq=101 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:17:58:42 +0900] "GET /bbslist.do HTTP/1.1" 200 6214
0:0:0:0:0:0:0:1 - - [03/Jan/2022:17:58:43 +0900] "GET /bbslist.do HTTP/1.1" 200 6214
0:0:0:0:0:0:0:1 - - [03/Jan/2022:17:58:52 +0900] "GET /bbsdetail.do?seq=81 HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [03/Jan/2022:17:58:53 +0900] "GET /deletebbs.do?seq=81 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/Jan/2022:17:58:53 +0900] "GET /bbslist.do HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [03/Jan/2022:17:59:22 +0900] "GET /bbslist.do HTTP/1.1" 200 5948
0:0:0:0:0:0:0:1 - - [03/Jan/2022:17:59:32 +0900] "GET /bbsdetail.do?seq=84 HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [03/Jan/2022:18:00:16 +0900] "GET /deletebbs.do?seq=84 HTTP/1.1" 500 4403
