127.0.0.1 - - [09/Jan/2022:23:08:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:08:24 +0900] "GET /spSamples/index.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:08:24 +0900] "GET /spSamples/login.do HTTP/1.1" 200 2653
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:08:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:09:23 +0900] "POST /spSamples/mlogin.do HTTP/1.1" 200 2464
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:09:30 +0900] "POST /spSamples/mloginAf.do HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:09:37 +0900] "POST /spSamples/mloginAf.do HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:09:39 +0900] "GET /spSamples/bbswrite.do HTTP/1.1" 500 5070
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:13:30 +0900] "POST /spSamples/loginAf.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:13:30 +0900] "GET /spSamples/bbslist.do HTTP/1.1" 200 3657
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:13:30 +0900] "GET /spSamples/image/arrow.png HTTP/1.1" 200 16335
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:14:44 +0900] "GET /spSamples/login.do HTTP/1.1" 200 2653
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:14:46 +0900] "POST /spSamples/mlogin.do HTTP/1.1" 200 2464
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:14:56 +0900] "POST /spSamples/mloginAf.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:14:56 +0900] "GET /spSamples/mbbslist HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:15:41 +0900] "GET /spSamples/login.do HTTP/1.1" 200 2653
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:16:20 +0900] "POST /spSamples/mlogin.do HTTP/1.1" 200 2464
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:16:25 +0900] "POST /spSamples/mloginAf.do HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:17:13 +0900] "POST /spSamples/mloginAf.do HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:17:21 +0900] "POST /spSamples/mloginAf.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:17:21 +0900] "GET /spSamples/bbslist.do HTTP/1.1" 200 3657
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:17:24 +0900] "GET /spSamples/bbsdetail.do?seq=63 HTTP/1.1" 200 2816
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:17:27 +0900] "GET /spSamples/bbsdetail.do?seq=201 HTTP/1.1" 200 1732
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:17:30 +0900] "GET /spSamples/bbsdetail.do?seq=183 HTTP/1.1" 200 1596
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:17:32 +0900] "GET /spSamples/answer.do?seq=183 HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:17:54 +0900] "GET /spSamples/bbsdetail.do?seq=181 HTTP/1.1" 200 1738
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:18:11 +0900] "POST /spSamples/mloginAf.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:18:11 +0900] "GET /spSamples/bbslist.do HTTP/1.1" 200 3657
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:18:13 +0900] "GET /spSamples/bbslist.do HTTP/1.1" 200 3657
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:18:13 +0900] "GET /spSamples/bbslist.do HTTP/1.1" 200 3657
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:18:16 +0900] "POST /spSamples/mloginAf.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:18:16 +0900] "GET /spSamples/bbslist.do HTTP/1.1" 200 3657
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:18:23 +0900] "POST /spSamples/mloginAf.do HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:21:13 +0900] "POST /spSamples/mloginAf.do HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:21:15 +0900] "POST /spSamples/mloginAf.do HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:21:30 +0900] "POST /spSamples/loginAf.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:21:30 +0900] "GET /spSamples/bbslist.do HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:21:37 +0900] "POST /spSamples/mlogin.do HTTP/1.1" 200 2464
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:21:42 +0900] "POST /spSamples/mloginAf.do HTTP/1.1" 200 1864
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:22:43 +0900] "POST /spSamples/loginAf.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:22:48 +0900] "GET /spSamples/bbslist.do HTTP/1.1" 200 3657
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:22:52 +0900] "GET /spSamples/bbsdetail.do?seq=142 HTTP/1.1" 200 4562
0:0:0:0:0:0:0:1 - - [09/Jan/2022:23:22:55 +0900] "GET /spSamples/bbsdetail.do?seq=182 HTTP/1.1" 200 1590
